department,title,number
HUM,INTRO HUMANITIES,201
HUM,HUMANITIES RSCH SEM ,596
HUM,SPEC TOPICS IN HUM,597
HUM,INDEPNDT STDY/RSCH,600
OHS,UNDERGRAD RESEARCH,449
OHS,P-DIR STDYS DPHS,550
OHS,ORAL TISSUES,561
OHS,OHS TEACHING,562
OHS,ADV ORAL MICRO,569
OHS,OHS SEMINAR,575
OHS,RESEARCH TECHNIQUES ,578
OHS,SECR PRC EXCRN GLND ,581
OHS,ADV TPCS ORALB I,591
OHS,INDEPNDNT STDY/RSCH ,600
OHS,P-COMD CLINIC ELECT ,650
OHS,MASTERS THESIS,700
OHS,DOCTORAL DISSERTATN ,800
PUBSCH,PUBLIC CULTURE,595
PUBSCH,INDEPNDT STDY/RSCH,600
PUBSCH,INTERNSHIP,601
PUBSCH,CAPSTONE PROJECT,602
PUBSCH,CAPSTONE PORTFOLIO,603
PEDO,P-DIR STDYS PEDO,550
PEDO,PED DENT SEM III,572
PEDO,PED DENT SEM VII,576
PEDO,DEV DIS SEMINAR,581
PEDO,INDEPNDNT STDY/RSCH ,600
PEDO,P-PEDO EXTRAMURALS,650
PEDO,P-CLIN PED DENT,662
PEDO,RURAL PEDO DENTAL,668
PEDO,SUPERVSD CLIN TCHNG ,669
PEDO,CHMC PEDO CLINIC,672
PEDO,CHMC PEDO CLINIC,676
PEDO,ORTHODONTIC CLINIC,699
PHG,INTRO GENETIC EPI,301
PHG,FORENSIC GENETICS,302
PHG,PHARM/TOX GENOMICS,513
PHG,GENETICS & THE LAW,523
PHG,ETH IMPL BIOTECH,544
PHG,INTERACTIVE SEMINAR ,580
PHG,MASTER'S PRACTICUM,595
PHG,INDEPNDNT STDY/RSCH ,600
PHG,MASTERS THESIS,700
PHG,DOCTORAL DISSERTATN ,800
COM,INTRO TO COM,200
COM,INTRO TO PUBLIC SPK ,220
COM,INTERPERSONAL CMU,270
COM,COM PWR &DIFFERENCE ,289
COM,NAVIGAT INFO NETWKS ,301
COM,AM PRESS & POLITICS ,304
COM,COM CITIES SUSTAIN,325
COM,SPEECH CONSULTING,336
COM,FNDS MULTIPLAT JOUR ,360
COM,ADV MULTIPLAT JOUR,361
COM,COMMUNITY JOUR,362
COM,JOUR IN DIVERSE SOC ,364
COM,CONTENT ANALYSIS,381
COM,SOC SCI COMM RSRCH,382
COM,COMM INTERNSHIP,395
COM,COM TECH & POLITICS ,407
COM,COM & ENVIRONMENT,418
COM,COMM & SOC CHANGE,423
COM,MASS MEDIA LAW,440
COM,HIST INFO TECHNOLGY ,442
COM,INDGN FILM/SVRN VIS ,443
COM,JOURN PORTFOLIO,457
COM,NARRATIVE JOURNALISM,459
COM,SPEC REPRTG TOPICS,460
COM,LEGISLATV REPORTING ,465
COM,INTERPERSONAL MEDIA ,482
COM,CULTURE IN COMMUNIC ,484
